,Get,all,work,items,similar,to,"TKT-123,",summarize,"them,",create,issues,from,that,"summary,",and,prioritize,them
text,tensor([[0.1868]]),tensor([[0.1112]]),tensor([[0.1475]]),tensor([[0.2085]]),tensor([[0.1448]]),tensor([[0.1653]]),tensor([[0.1220]]),tensor([[0.3793]]),tensor([[0.1055]]),tensor([[0.2908]]),tensor([[0.2415]]),tensor([[0.1358]]),tensor([[0.1615]]),tensor([[0.2997]]),tensor([[0.1658]]),tensor([[0.1270]]),tensor([[0.1032]])
work_id,tensor([[0.0149]]),tensor([[0.0147]]),tensor([[0.2831]]),tensor([[0.3918]]),tensor([[0.3289]]),tensor([[0.0397]]),tensor([[0.0956]]),tensor([[0.1448]]),tensor([[0.0495]]),tensor([[0.1018]]),tensor([[0.0861]]),tensor([[0.0223]]),tensor([[0.0857]]),tensor([[0.1015]]),tensor([[0.0735]]),tensor([[0.0846]]),tensor([[0.0702]])
get_sprint_id,tensor([[0.1767]]),tensor([[0.0123]]),tensor([[0.1106]]),tensor([[0.0474]]),tensor([[0.1062]]),tensor([[0.1049]]),tensor([[0.1949]]),tensor([[0.1044]]),tensor([[0.0418]]),tensor([[0.1088]]),tensor([[0.0251]]),tensor([[0.1787]]),tensor([[0.0583]]),tensor([[0.0514]]),tensor([[0.0315]]),tensor([[0.0313]]),tensor([[0.0468]])
objects,tensor([[0.1037]]),tensor([[0.1000]]),tensor([[0.1611]]),tensor([[0.3395]]),tensor([[0.1150]]),tensor([[0.1580]]),tensor([[0.0507]]),tensor([[0.6067]]),tensor([[0.0385]]),tensor([[0.0971]]),tensor([[0.0982]]),tensor([[0.1118]]),tensor([[0.1304]]),tensor([[0.3745]]),tensor([[0.1114]]),tensor([[0.1295]]),tensor([[0.0432]])
query,tensor([[0.0787]]),tensor([[0.0747]]),tensor([[0.0025]]),tensor([[0.1181]]),tensor([[0.1323]]),tensor([[0.0124]]),tensor([[0.1599]]),tensor([[0.0688]]),tensor([[0.0834]]),tensor([[0.0944]]),tensor([[0.0342]]),tensor([[0.0671]]),tensor([[0.0575]]),tensor([[0.0786]]),tensor([[0.0857]]),tensor([[-0.0304]]),tensor([[0.0679]])
who_am_i,tensor([[0.2122]]),tensor([[-0.0051]]),tensor([[0.0996]]),tensor([[0.0838]]),tensor([[0.0813]]),tensor([[0.1179]]),tensor([[0.1342]]),tensor([[0.0681]]),tensor([[0.0448]]),tensor([[0.1533]]),tensor([[0.0532]]),tensor([[0.1978]]),tensor([[0.0385]]),tensor([[0.0580]]),tensor([[-0.0028]]),tensor([[0.0148]]),tensor([[0.0297]])
applies_to_part,tensor([[-0.0067]]),tensor([[0.0713]]),tensor([[0.2212]]),tensor([[0.2121]]),tensor([[0.0557]]),tensor([[0.0668]]),tensor([[0.0362]]),tensor([[0.0542]]),tensor([[0.1563]]),tensor([[0.0334]]),tensor([[0.0900]]),tensor([[0.0548]]),tensor([[0.0141]]),tensor([[0.0844]]),tensor([[0.1060]]),tensor([[0.1060]]),tensor([[0.1972]])
created_by,tensor([[0.0155]]),tensor([[0.0252]]),tensor([[0.1583]]),tensor([[0.0443]]),tensor([[0.0273]]),tensor([[0.0711]]),tensor([[0.0022]]),tensor([[0.0068]]),tensor([[0.1564]]),tensor([[0.2810]]),tensor([[0.1067]]),tensor([[0.0800]]),tensor([[0.0011]]),tensor([[0.0335]]),tensor([[0.0650]]),tensor([[-0.0172]]),tensor([[0.1884]])
issue.priority,tensor([[0.0455]]),tensor([[0.1242]]),tensor([[0.0830]]),tensor([[0.2301]]),tensor([[-0.0232]]),tensor([[0.0035]]),tensor([[0.0802]]),tensor([[0.0447]]),tensor([[0.0878]]),tensor([[0.0121]]),tensor([[0.2435]]),tensor([[0.0008]]),tensor([[0.0181]]),tensor([[0.0530]]),tensor([[0.0379]]),tensor([[0.3470]]),tensor([[0.0958]])
issue.rev_orgs,tensor([[0.0286]]),tensor([[0.1153]]),tensor([[0.0616]]),tensor([[0.1580]]),tensor([[0.0105]]),tensor([[0.0976]]),tensor([[-0.0256]]),tensor([[0.0429]]),tensor([[0.1907]]),tensor([[0.0468]]),tensor([[0.2501]]),tensor([[0.0546]]),tensor([[0.0521]]),tensor([[0.0787]]),tensor([[0.0523]]),tensor([[0.0866]]),tensor([[0.2019]])
limit,tensor([[0.1253]]),tensor([[-0.0009]]),tensor([[0.1165]]),tensor([[0.0753]]),tensor([[-0.0016]]),tensor([[0.0645]]),tensor([[0.1267]]),tensor([[0.0599]]),tensor([[-0.0169]]),tensor([[0.1123]]),tensor([[0.0724]]),tensor([[0.0250]]),tensor([[0.0183]]),tensor([[0.0499]]),tensor([[0.0403]]),tensor([[0.1331]]),tensor([[-0.0466]])
owned_by,tensor([[0.0095]]),tensor([[0.0321]]),tensor([[0.1319]]),tensor([[0.0526]]),tensor([[0.0095]]),tensor([[0.1142]]),tensor([[-0.0176]]),tensor([[0.0142]]),tensor([[0.1832]]),tensor([[0.0658]]),tensor([[0.1071]]),tensor([[0.0445]]),tensor([[0.0227]]),tensor([[0.0174]]),tensor([[0.0632]]),tensor([[0.0185]]),tensor([[0.2047]])
stage.name,tensor([[0.0420]]),tensor([[0.0017]]),tensor([[-0.0046]]),tensor([[0.0702]]),tensor([[0.0071]]),tensor([[0.0494]]),tensor([[0.0377]]),tensor([[0.0519]]),tensor([[0.0441]]),tensor([[0.0579]]),tensor([[0.0008]]),tensor([[0.0981]]),tensor([[-0.0331]]),tensor([[0.0405]]),tensor([[-0.0298]]),tensor([[0.0379]]),tensor([[0.0790]])
ticket.needs_response,tensor([[0.1629]]),tensor([[0.1263]]),tensor([[0.0806]]),tensor([[0.2157]]),tensor([[0.0564]]),tensor([[0.1319]]),tensor([[0.1059]]),tensor([[0.0267]]),tensor([[0.1348]]),tensor([[0.0299]]),tensor([[0.1770]]),tensor([[0.0889]]),tensor([[0.0886]]),tensor([[0.0719]]),tensor([[0.0839]]),tensor([[0.1262]]),tensor([[0.1767]])
ticket.rev_org,tensor([[0.0463]]),tensor([[0.1084]]),tensor([[0.0059]]),tensor([[0.2049]]),tensor([[0.0429]]),tensor([[0.1585]]),tensor([[0.0001]]),tensor([[0.0578]]),tensor([[0.2039]]),tensor([[-0.0024]]),tensor([[0.1073]]),tensor([[0.0613]]),tensor([[0.0662]]),tensor([[0.0415]]),tensor([[0.0847]]),tensor([[0.0830]]),tensor([[0.2472]])
ticket.severity,tensor([[0.1445]]),tensor([[0.1709]]),tensor([[0.0631]]),tensor([[0.2604]]),tensor([[0.0724]]),tensor([[0.1656]]),tensor([[0.0797]]),tensor([[0.0499]]),tensor([[0.1669]]),tensor([[0.0647]]),tensor([[0.2451]]),tensor([[0.1280]]),tensor([[0.0998]]),tensor([[0.0533]]),tensor([[0.1172]]),tensor([[0.1010]]),tensor([[0.2107]])
_,tensor([[0.0152]]),tensor([[0.1344]]),tensor([[0.0849]]),tensor([[0.2537]]),tensor([[-0.0002]]),tensor([[0.0281]]),tensor([[0.1326]]),tensor([[0.1218]]),tensor([[0.0376]]),tensor([[0.0718]]),tensor([[0.0575]]),tensor([[-0.0214]]),tensor([[0.0626]]),tensor([[0.0687]]),tensor([[0.0409]]),tensor([[0.1899]]),tensor([[0.0494]])
ticket.source_channel,tensor([[0.0828]]),tensor([[0.0624]]),tensor([[0.0246]]),tensor([[0.0936]]),tensor([[0.0266]]),tensor([[0.1333]]),tensor([[-0.0060]]),tensor([[0.0251]]),tensor([[0.1442]]),tensor([[-0.0174]]),tensor([[0.0706]]),tensor([[0.1246]]),tensor([[0.0278]]),tensor([[-0.0026]]),tensor([[0.0405]]),tensor([[0.1081]]),tensor([[0.1823]])
type,tensor([[0.0317]]),tensor([[0.0643]]),tensor([[0.1417]]),tensor([[0.1952]]),tensor([[0.0002]]),tensor([[0.0633]]),tensor([[0.0801]]),tensor([[0.0426]]),tensor([[0.1043]]),tensor([[0.0446]]),tensor([[0.2740]]),tensor([[-0.0092]]),tensor([[0.0056]]),tensor([[0.0658]]),tensor([[0.0282]]),tensor([[0.0477]]),tensor([[0.1424]])
work_ids,tensor([[0.0855]]),tensor([[0.1014]]),tensor([[0.3144]]),tensor([[0.2772]]),tensor([[0.1013]]),tensor([[0.1276]]),tensor([[0.2334]]),tensor([[0.1721]]),tensor([[0.1254]]),tensor([[0.1787]]),tensor([[0.1779]]),tensor([[0.1033]]),tensor([[0.1149]]),tensor([[0.1582]]),tensor([[0.1369]]),tensor([[0.0465]]),tensor([[0.1284]])
sprint_id,tensor([[0.0806]]),tensor([[0.1270]]),tensor([[0.3268]]),tensor([[0.3641]]),tensor([[0.1023]]),tensor([[0.1141]]),tensor([[0.2588]]),tensor([[0.1545]]),tensor([[0.1130]]),tensor([[0.2090]]),tensor([[0.1906]]),tensor([[0.0876]]),tensor([[0.0984]]),tensor([[0.1389]]),tensor([[0.1626]]),tensor([[0.0433]]),tensor([[0.1410]])
